epoch,fit/loss,fit/pred_loss,fit/sigreg_loss,step,validate/loss_epoch,validate/loss_step,validate/pred_loss_epoch,validate/pred_loss_step,validate/sigreg_loss_epoch,validate/sigreg_loss_step
,,,,190,,0.47045445442199707,,0.029048191383481026,,4.90625
,,,,191,,0.4362308382987976,,0.03779333457350731,,4.4375
,,,,192,,0.48000314831733704,,0.03078439272940159,,5.0
,,,,193,,0.4767952263355255,,0.035388972610235214,,4.90625
,,,,194,,0.47917550802230835,,0.03386300057172775,,4.9375
,,,,195,,0.45713213086128235,,0.029397759586572647,,4.75
,,,,196,,0.5185939073562622,,0.03421889245510101,,5.375
,,,,197,,0.5977361798286438,,0.03132995590567589,,6.3125
,,,,198,,0.5222102403640747,,0.03197583928704262,,5.4375
,,,,199,,0.4809180796146393,,0.03365246579051018,,4.96875
,,,,200,,0.4719582796096802,,0.030552029609680176,,4.90625
,,,,201,,0.4623546004295349,,0.034620217978954315,,4.75
,,,,202,,0.43693023920059204,,0.03263336420059204,,4.5
,,,,203,,0.45424556732177734,,0.03237055987119675,,4.6875
,,,,204,,0.4492672383785248,,0.035204749554395676,,4.59375
,,,,205,,0.5756565928459167,,0.036594096571207047,,5.96875
,,,,206,,0.5181593298912048,,0.033784348517656326,,5.375
,,,,207,,0.4560701549053192,,0.03224204108119011,,4.71875
,,,,208,,0.45712530612945557,,0.033297181129455566,,4.71875
,,,,209,,0.4072961211204529,,0.032296132296323776,,4.15625
0,,,,1886,0.4912562668323517,,0.033295467495918274,,5.088212013244629,
1,0.3077528476715088,0.03236223757266998,3.0625,1899,,,,,,
1,0.2998172640800476,0.032239124178886414,2.96875,1949,,,,,,
1,0.34490445256233215,0.03631069138646126,3.421875,1999,,,,,,
1,0.29742997884750366,0.03375809267163277,2.9375,2049,,,,,,
1,0.28555232286453247,0.029692942276597023,2.84375,2099,,,,,,
1,0.2940281927585602,0.030356327071785927,2.9375,2149,,,,,,
1,0.2925858199596405,0.030867066234350204,2.90625,2199,,,,,,
1,0.27716755867004395,0.03205035999417305,2.71875,2249,,,,,,
1,0.29591891169548035,0.032247044146060944,2.921875,2299,,,,,,
1,0.277582585811615,0.03051227703690529,2.75,2349,,,,,,
1,0.2633287310600281,0.028953734785318375,2.609375,2399,,,,,,
1,0.2680610418319702,0.031732916831970215,2.625,2449,,,,,,
1,0.2680533528327942,0.033678360283374786,2.609375,2499,,,,,,
1,0.2907150983810425,0.028996342793107033,2.90625,2549,,,,,,
1,0.2576349675655365,0.0271662138402462,2.5625,2599,,,,,,
1,0.23884116113185883,0.027903662994503975,2.34375,2649,,,,,,
1,0.2521682679653168,0.02951202169060707,2.46875,2699,,,,,,
1,0.23272567987442017,0.028624124825000763,2.265625,2749,,,,,,
1,0.24914415180683136,0.029417594894766808,2.4375,2799,,,,,,
1,0.21864987909793854,0.030173322185873985,2.09375,2849,,,,,,
1,0.22616228461265564,0.02792009338736534,2.203125,2899,,,,,,
1,0.23204179108142853,0.026963667944073677,2.28125,2949,,,,,,
1,0.23568570613861084,0.02474820427596569,2.34375,2999,,,,,,
1,0.21731676161289215,0.022980818524956703,2.15625,3049,,,,,,
1,0.22841015458106995,0.026261717081069946,2.25,3099,,,,,,
1,0.21426917612552643,0.026769176125526428,2.078125,3149,,,,,,
1,0.2251279056072235,0.03372165188193321,2.125,3199,,,,,,
1,0.22926588356494904,0.032000262290239334,2.1875,3249,,,,,,
1,0.21598516404628754,0.028485162183642387,2.078125,3299,,,,,,
1,0.19842621684074402,0.026551220566034317,1.90625,3349,,,,,,
1,0.19761523604393005,0.024763673543930054,1.921875,3399,,,,,,
1,0.21607744693756104,0.027600878849625587,2.09375,3449,,,,,,
1,0.20650708675384521,0.023889906704425812,2.03125,3499,,,,,,
1,0.2225107103586197,0.02719821035861969,2.171875,3549,,,,,,
1,0.19355666637420654,0.025587912648916245,1.8671875,3599,,,,,,
1,0.18059402704238892,0.02434402145445347,1.734375,3649,,,,,,
1,0.20461955666542053,0.024932051077485085,1.9921875,3699,,,,,,
1,0.2048889845609665,0.02324836514890194,2.015625,3749,,,,,,
,,,,210,,0.23772788047790527,,0.019954442977905273,,2.421875
